bncc_code,stage,grade,subject,description_pt,description_en
EF15CO08,EF,"1º, 2º, 3º, 4º, 5º",Computação,"Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas.","Recognize and use computing technologies to research and access information, express oneself critically and creatively, and solve problems."
EF15CO09,EF,"1º, 2º, 3º, 4º, 5º",Computação,"Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Understand that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF69CO01,EF,"6º, 7º, 8º, 9º",Computação,"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’. Construir e analisar soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual ou colaborativa, selecionando as estruturas de dados adequadas (registros, matrizes, listas e grafos), aperfeiçoando e articulando saberes escolares.","Classify information by grouping it into collections (sets) and associating each collection with a data type; construct and analyze computational solutions to problems from different areas of knowledge, individually or collaboratively, selecting appropriate data structures (records, arrays, lists, and graphs) while refining and connecting school-based knowledge."
EF69CO02,EF,"6º, 7º, 8º, 9º",Computação,"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação. Construir e analisar soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual ou colaborativa, selecionando as estruturas de dados adequadas (registros, matrizes, listas e grafos), aperfeiçoando e articulando saberes escolares.","Develop algorithms involving sequential, repetition, and selection instructions using a programming language; construct and analyze computational solutions to problems from different areas of knowledge, individually or collaboratively, selecting appropriate data structures (records, arrays, lists, and graphs) while refining and connecting school-based knowledge."
EF69CO03,EF,"6º, 7º, 8º, 9º",Computação,"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita. Construir e analisar soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual ou colaborativa, selecionando as estruturas de dados adequadas (registros, matrizes, listas e grafos), aperfeiçoando e articulando saberes escolares.","Describe the solution to a problem with precision and construct the program that implements the described solution; construct and analyze computational solutions to problems from different areas of knowledge, individually or collaboratively, selecting appropriate data structures (records, arrays, lists, and graphs) while refining and connecting school-based knowledge."
EF69CO04,EF,"6º, 7º, 8º, 9º",Computação,"Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação. Empregar diferentes estratégias da Computação (decomposição, generalização e reúso) para construir a solução de problemas.","Construct solutions to problems using the decomposition technique and automate those solutions using a programming language; apply different computational strategies (decomposition, generalization, and reuse) to construct problem solutions."
EF69CO05,EF,"6º, 7º, 8º, 9º",Computação,"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída. Empregar diferentes estratégias da Computação (decomposição, generalização e reúso) para construir a solução de problemas.","Identify the resources or inputs required (inputs) for solving problems as well as the expected results (outputs), determining the respective data types and establishing the problem definition as a relationship between input and output; apply different computational strategies (decomposition, generalization, and reuse) to construct problem solutions."
EF69CO06,EF,"6º, 7º, 8º, 9º",Computação,"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica. Empregar diferentes estratégias da Computação (decomposição, generalização e reúso) para construir a solução de problemas.","Compare different specific cases (instances) of the same problem, identifying similarities and differences among them, and create an algorithm to solve all cases by using variables (parameters) to enable generic treatment of every case; apply different computational strategies (decomposition, generalization, and reuse) to construct problem solutions."
EF69CO07,EF,"6º, 7º, 8º, 9º",Computação,"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino. Entender como os dados são armazenados, processados e transmitidos usando dispositivos computacionais, considerando aspectos da segurança cibernética.","Explain the process of data transmission, including how information is broken into pieces, transmitted in packets through multiple devices, and reassembled at the destination; explain how data are stored, processed, and transmitted using computing devices, taking into account aspects of cybersecurity."
EF69CO08,EF,"6º, 7º, 8º, 9º",Computação,"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados. Entender como os dados são armazenados, processados e transmitidos usando dispositivos computacionais, considerando aspectos da segurança cibernética.","Understand and use different methods for storing, manipulating, compressing, and retrieving files, documents, and metadata; explain how data are stored, processed, and transmitted using computing devices, taking into account aspects of cybersecurity."
EF69CO09,EF,"6º, 7º, 8º, 9º",Computação,"Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos. Entender os fundamentos de sistemas distribuídos e da internet.","Explain the concepts of parallelism, concurrency, and distributed storage/processing; understand the foundations of distributed systems and the internet."
EF69CO10,EF,"6º, 7º, 8º, 9º",Computação,Entender como é a estrutura e funcionamento da internet. Entender os fundamentos de sistemas distribuídos e da internet.,Describe the structure and operation of the internet; understand the foundations of distributed systems and the internet.
EF69CO11,EF,"6º, 7º, 8º, 9º",Computação,"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Demonstrate appropriate conduct and language when communicating in digital environments, upholding ethics and respect; understand that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF69CO12,EF,"6º, 7º, 8º, 9º",Computação,"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade. Selecionar e utilizar tecnologias computacionais para se expressar e resolver problemas, analisando criticamente os diferentes impactos na sociedade.","Analyze technology consumption in society, critically examining the production chain of technological resources as well as issues related to obsolescence and sustainability; select and use computing technologies for self-expression and problem solving while critically analyzing their varied impacts on society."
EF12EF01,EF,"1º, 2º",Educação Física,"Experimentar, fruir e recriar diferentes brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional, reconhecendo e respeitando as diferenças individuais de desempenho dos colegas.","Explore, enjoy, and reinvent different games and play activities from popular culture present in the community and regional context, recognizing and respecting individual differences in peers' performance."
EF12EF02,EF,"1º, 2º",Educação Física,"Explicar, por meio de múltiplas linguagens (corporal, visual, oral e escrita), as brincadeiras e os jogos populares do contexto comunitário e regional, reconhecendo e valorizando a importância desses jogos e brincadeiras para suas culturas de origem.","Explain, through multiple forms of expression (bodily, visual, oral, and written), the games and popular play activities of the community and regional context, recognizing and valuing the importance of these games and play activities to their cultures of origin."
EF12EF03,EF,"1º, 2º",Educação Física,"Planejar e utilizar estratégias para resolver desafios de brincadeiras e jogos populares do contexto comunitário e regional, com base no reconhecimento das características dessas práticas.","Plan and apply strategies to meet the challenges of popular games and play activities from the community and regional context, drawing on knowledge of the characteristics of these practices."
EF12EF04,EF,"1º, 2º",Educação Física,"Colaborar na proposição e na produção de alternativas para a prática, em outros momentos e espaços, de brincadeiras e jogos e demais práticas corporais tematizadas na escola, produzindo textos (orais, escritos, audiovisuais) para divulgá-las na escola e na comunidade.","Collaborate in proposing and producing alternatives for practicing games, play activities, and other bodily practices explored at school in other times and spaces, creating texts (oral, written, and audiovisual) to share them with the school and community."
EF08CO07,EF,8º,Computação,"Compartilhar informações por meio de redes sociais compreendendo a sua dinâmica de funcionamento de forma responsável e avaliando sua confiabilidade considerando o respeito e a ética. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Share information through social media with an understanding of how these platforms function, doing so responsibly and evaluating their reliability with respect for ethical principles. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF08CO08,EF,8º,Computação,"Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Distinguish the types of personal data requested in digital spaces and the risks associated with sharing them. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF08CO09,EF,8º,Computação,"Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Critically analyze the terms-of-use policies of social media platforms and other digital platforms. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF08CO10,EF,8º,Computação,"Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Discuss issues of security and privacy related to the use of virtual environments. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF08CO11,EF,8º,Computação,"Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica. Selecionar e utilizar tecnologias computacionais para se expressar e resolver problemas, analisando criticamente os diferentes impactos na sociedade.","Evaluate the accuracy, relevance, appropriateness, scope, and biases present in electronic information sources. Select and use computational technologies to express ideas and solve problems, critically analyzing their varied impacts on society."
EF09CO01,EF,9º,Computação,"Criar soluções de problemas para os quais seja adequado o uso de árvores e grafos para descrever suas informações e automatizá-las usando uma linguagem de programação. Construir e analisar soluções computacionais de problemas de diferentes áreas do conhecimento de forma individual ou colaborativa selecionando as estruturas de dados adequadas (registros, matrizes, listas e grafos), aperfeiçoando e articulando saberes escolares.","Design solutions to problems for which trees and graphs are appropriate structures for representing information, and automate those solutions using a programming language. Construct and analyze computational solutions to problems from different areas of knowledge, individually or collaboratively, selecting appropriate data structures (records, arrays, lists, and graphs) while refining and integrating school-based knowledge."
EF09CO02,EF,9º,Computação,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares. Construir e analisar soluções computacionais de problemas de diferentes áreas do conhecimento de forma individual ou colaborativa selecionando as estruturas de dados adequadas (registros, matrizes, listas e grafos), aperfeiçoando e articulando saberes escolares.","Construct computational solutions to problems from different areas of knowledge, individually and collaboratively, selecting appropriate data structures and techniques while refining and integrating school-based knowledge. Construct and analyze computational solutions to problems from different areas of knowledge, individually or collaboratively, selecting appropriate data structures (records, arrays, lists, and graphs) while refining and integrating school-based knowledge."
EF09CO03,EF,9º,Computação,"Usar autômatos para descrever comportamentos de forma abstrata automatizando-os através de uma linguagem de programação baseada em eventos. Construir e analisar soluções computacionais de problemas de diferentes áreas do conhecimento de forma individual ou colaborativa selecionando as estruturas de dados adequadas (registros, matrizes, listas e grafos), aperfeiçoando e articulando saberes escolares.","Use automata to describe behaviors in an abstract way and automate them through an event-driven programming language. Construct and analyze computational solutions to problems from different areas of knowledge, individually or collaboratively, selecting appropriate data structures (records, arrays, lists, and graphs) while refining and integrating school-based knowledge."
EF09CO04,EF,9º,Computação,Compreender o funcionamento de malwares e outros ataques cibernéticos.,Explain how malware and other cyberattacks function.
EF09CO05,EF,9º,Computação,Analisar técnicas de criptografia para armazenamento e transmissão de dados. Entender os fundamentos de sistemas distribuídos e da internet. (cont.),Analyze cryptographic techniques used for data storage and transmission. Understand the foundations of distributed systems and the internet.
EF09CO06,EF,9º,Computação,"Analisar problemas sociais de sua cidade e estado a partir de ambientes digitais, propondo soluções. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Analyze social problems in one's city and state using digital environments and propose solutions to those problems. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF09CO07,EF,9º,Computação,"Avaliar aplicações e implicações políticas, socioambientais e culturais das tecnologias digitais para propor alternativas aos desafios do mundo contemporâneo, incluindo aqueles relativos ao mundo do trabalho. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Evaluate the political, socio-environmental, and cultural applications and implications of digital technologies in order to propose alternatives to contemporary challenges, including those related to the world of work. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF09CO08,EF,9º,Computação,"Discutir como a distribuição desigual de recursos de computação em uma economia global levanta questões de equidade, acesso e poder. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Discuss how the unequal distribution of computing resources in a global economy raises questions of equity, access, and power. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF09CO09,EF,9º,Computação,"Criar ou utilizar conteúdo em meio digital, compreendendo questões éticas relacionadas a direitos autorais e de uso de imagem. Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.","Create or use content in digital media while demonstrating understanding of ethical issues related to copyright and image rights. Recognize that technologies must be used in a safe, ethical, and responsible manner, respecting copyright, image rights, and applicable laws."
EF09CO10,EF,9º,Computação,"Avaliar a veracidade, credibilidade e relevância da informação em seus diferentes formatos, sendo capaz de identificar o propósito pelo qual foi disseminada. Selecionar e utilizar tecnologias computacionais para se expressar e resolver problemas, analisando criticamente os diferentes impactos na sociedade.","Evaluate the truthfulness, credibility, and relevance of information across different formats, identifying the purpose for which it was disseminated. Select and use computational technologies to express ideas and solve problems, critically analyzing their varied impacts on society."
EF15CO01,EF,"1º, 2º, 3º, 4º, 5º",Computação,"Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas e grafos) ou não estruturada (números, palavras, valores verdade).","Identify the primary ways of organizing and representing information in structured form (arrays, records, lists, and graphs) and in unstructured form (numbers, words, and truth values)."
EF15CO02,EF,"1º, 2º, 3º, 4º, 5º",Computação,"Construir e simular algoritmos, de forma independente ou em colaboração, que resolvam problemas simples e do cotidiano com uso de sequências, seleções condicionais e repetições de instruções.","Construct and simulate algorithms, independently or collaboratively, that solve simple, everyday problems using sequences, conditional selections, and repetition of instructions."
EF15CO03,EF,"1º, 2º, 3º, 4º, 5º",Computação,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores ""verdadeiro"" e ""falso.""","Apply negation, conjunction, and disjunction operations to logical statements using the values ""true"" and ""false."""
EF15CO04,EF,"1º, 2º, 3º, 4º, 5º",Computação,"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções.","Apply a decomposition strategy to solve complex problems by breaking them into smaller parts, solving each part, and combining their solutions."
EF15CO05,EF,"1º, 2º, 3º, 4º, 5º",Computação,"Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais.","Encode information in different forms, understanding the importance of encoding for the storage, manipulation, and transmission of data in computing devices."
EF12EF05,EF,"1º, 2º",Educação Física,"Experimentar e fruir, prezando pelo trabalho coletivo e pelo protagonismo, a prática de esportes de marca e de precisão, identificando os elementos comuns a esses esportes.","Explore and appreciate, with an emphasis on collective work and student agency, the practice of measurement sports and precision sports, identifying the elements common to these sport categories."
EF12EF06,EF,"1º, 2º",Educação Física,Discutir a importância da observação das normas e das regras dos esportes de marca e de precisão para assegurar a integridade própria e as dos demais participantes.,Discuss the importance of observing the norms and rules of measurement sports and precision sports in order to ensure the safety and physical integrity of oneself and all other participants.
EF12EF07,EF,"1º, 2º",Educação Física,"Experimentar, fruir e identificar diferentes elementos básicos da ginástica (equilíbrios, saltos, giros, rotações, acrobacias, com e sem materiais) e da ginástica geral, de forma individual e em pequenos grupos, adotando procedimentos de segurança.","Explore, appreciate, and identify different basic elements of gymnastics (balances, jumps, turns, rotations, and acrobatics, with and without equipment) and of general gymnastics (rhythmic and expressive movement), both individually and in small groups, applying safety procedures throughout."
EF12EF08,EF,"1º, 2º",Educação Física,Planejar e utilizar estratégias para a execução de diferentes elementos básicos da ginástica e da ginástica geral.,Plan and apply strategies for executing different basic elements of gymnastics and general gymnastics.
EF12EF09,EF,"1º, 2º",Educação Física,"Participar da ginástica geral, identificando as potencialidades e os limites do corpo, e respeitando as diferenças individuais e de desempenho corporal.","Participate in general gymnastics activities, identifying the capabilities and limitations of one's own body and respecting individual differences in physical performance."
EF12EF10,EF,"1º, 2º",Educação Física,"Descrever, por meio de múltiplas linguagens (corporal, oral, escrita e audiovisual), as características dos elementos básicos da ginástica e da ginástica geral, identificando a presença desses elementos em distintas práticas corporais.","Describe, through multiple modes of expression (movement, oral, written, and audiovisual), the characteristics of the basic elements of gymnastics and general gymnastics, identifying the presence of these elements in a variety of physical movement practices."
EF12EF11,EF,"1º, 2º",Educação Física,"Experimentar e fruir diferentes danças do contexto comunitário e regional (rodas cantadas, brincadeiras rítmicas e expressivas), e recriá-las, respeitando as diferenças individuais e de desempenho corporal.","Explore and appreciate different dances from community and regional contexts (singing circle games, rhythmic play, and expressive movement activities), and recreate them, respecting individual differences and differences in physical performance."
EF12EF12,EF,"1º, 2º",Educação Física,"Identificar os elementos constitutivos (ritmo, espaço, gestos) das danças do contexto comunitário e regional, valorizando e respeitando as manifestações de diferentes culturas.","Identify the constituent elements (rhythm, space, and gesture) of dances from community and regional contexts, valuing and respecting expressions from different cultures."
EF35EF01,EF,"3º, 4º, 5º",Educação Física,"Experimentar e fruir brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e recriá-los, valorizando a importância desse patrimônio histórico cultural.","Explore and appreciate popular games and play traditions from Brazil and around the world, including those of Indigenous and African origin, and recreate them, recognizing the importance of this historical and cultural heritage."
EF35EF02,EF,"3º, 4º, 5º",Educação Física,Planejar e utilizar estratégias para possibilitar a participação segura de todos os alunos em brincadeiras e jogos populares do Brasil e de matriz indígena e africana.,Plan and apply strategies to enable the safe participation of all students in popular games and play traditions from Brazil and those of Indigenous and African origin.
EF35EF03,EF,"3º, 4º, 5º",Educação Física,"Descrever, por meio de múltiplas linguagens (corporal, oral, escrita, audiovisual), as brincadeiras e os jogos populares do Brasil e de matriz indígena e africana, explicando suas características e a importância desse patrimônio histórico cultural na preservação das diferentes culturas.","Describe, through multiple modes of expression (movement, oral, written, and audiovisual), popular games and play traditions from Brazil and those of Indigenous and African origin, explaining their characteristics and the importance of this historical and cultural heritage in preserving diverse cultures."
EF35EF04,EF,"3º, 4º, 5º",Educação Física,"Recriar, individual e coletivamente, e experimentar, na escola e fora dela, brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e demais práticas corporais tematizadas na escola, adequando-as aos espaços públicos disponíveis.","Recreate, both individually and collectively, and explore — in school and outside of school — popular games and play traditions from Brazil and around the world, including those of Indigenous and African origin, as well as other movement practices addressed in school, adapting them to available public spaces."
EF35EF05,EF,"3º, 4º, 5º",Educação Física,"Experimentar e fruir diversos tipos de esportes de campo e taco, rede/parede e invasão, identificando seus elementos comuns e criando estratégias individuais e coletivas básicas para sua execução, prezando pelo trabalho coletivo e pelo protagonismo.","Explore and appreciate various types of striking/fielding sports, net/wall sports, and invasion sports, identifying their common elements and developing basic individual and collective strategies for participation, with an emphasis on collective work and student agency."
EF35EF06,EF,"3º, 4º, 5º",Educação Física,"Diferenciar os conceitos de jogo e esporte, identificando as características que os constituem na contemporaneidade e suas manifestações (profissional e comunitária/lazer).","Differentiate the concepts of play/game and sport, identifying the characteristics that define each in the contemporary context and their different forms of expression (professional and community/recreational)."
EF35EF07,EF,"3º, 4º, 5º",Educação Física,"Experimentar e fruir, de forma coletiva, combinações de diferentes elementos da ginástica geral (equilíbrios, saltos, giros, rotações, acrobacias, com e sem materiais), propondo coreografias com diferentes temas do cotidiano.","Explore and appreciate, in a collective setting, combinations of different elements of general gymnastics (balances, jumps, turns, rotations, and acrobatics, with and without equipment), proposing group routines based on different themes from everyday life."
EF35EF08,EF,"3º, 4º, 5º",Educação Física,"Planejar e utilizar estratégias para resolver desafios na execução de elementos básicos de apresentações coletivas de ginástica geral, reconhecendo as potencialidades e os limites do corpo e adotando procedimentos de segurança.","Plan and apply strategies to meet challenges in executing the basic elements of collective general gymnastics presentations, recognizing the capabilities and limitations of the body and applying safety procedures."
EF35EF09,EF,"3º, 4º, 5º",Educação Física,"Experimentar, recriar e fruir danças populares do Brasil e do mundo e danças de matriz indígena e africana, valorizando e respeitando os diferentes sentidos e significados dessas danças em suas culturas de origem.","Explore, recreate, and appreciate popular dances from Brazil and around the world, as well as dances of Indigenous and African origin, valuing and respecting the different meanings and significance of these dances within their cultures of origin."
EF35EF10,EF,"3º, 4º, 5º",Educação Física,"Comparar e identificar os elementos constitutivos comuns e diferentes (ritmo, espaço, gestos) em danças populares do Brasil e do mundo e danças de matriz indígena e africana.","Compare and identify shared and distinct constituent elements (rhythm, space, and gesture) across popular dances from Brazil and around the world and dances of Indigenous and African origin."
EF35EF11,EF,"3º, 4º, 5º",Educação Física,"Formular e utilizar estratégias para a execução de elementos constitutivos das danças populares do Brasil e do mundo, e das danças de matriz indígena e africana.","Develop and apply strategies for executing the constituent elements of popular dances from Brazil and around the world, and of dances of Indigenous and African origin."
EF35EF12,EF,"3º, 4º, 5º",Educação Física,Identificar situações de injustiça e preconceito geradas e/ou presentes no contexto das danças e demais práticas corporais e discutir alternativas para superá-las.,"Identify situations of injustice and prejudice generated by and/or present in the context of dance and other physical movement practices, and discuss alternatives for overcoming them."
EF03ER03,EF,3º,Ensino Religioso,"Identificar e respeitar práticas celebrativas (cerimônias, orações, festividades, peregrinações, entre outras) de diferentes tradições religiosas.","Identify and respect celebratory practices (ceremonies, prayers, festivities, pilgrimages, and others) from different religious traditions."
EF03ER04,EF,3º,Ensino Religioso,Caracterizar as práticas celebrativas como parte integrante do conjunto das manifestações religiosas de diferentes culturas e sociedades.,Characterize celebratory practices as an integral part of the broader set of religious expressions found across different cultures and societies.
EF03ER05,EF,3º,Ensino Religioso,"Reconhecer as indumentárias (roupas, acessórios, símbolos, pinturas corporais) utilizadas em diferentes manifestações e tradições religiosas.","Recognize the vestments and adornments (clothing, accessories, symbols, body paint) used in different religious traditions and manifestations."
EF03ER06,EF,3º,Ensino Religioso,Caracterizar as indumentárias como elementos integrantes das identidades religiosas.,Characterize vestments and adornments as integral elements of religious identities.
EF04ER01,EF,4º,Ensino Religioso,"Identificar ritos presentes no cotidiano pessoal, familiar, escolar e comunitário.","Identify rites present in personal, family, school, and community daily life."
EF04ER02,EF,4º,Ensino Religioso,Identificar ritos e suas funções em diferentes manifestações e tradições religiosas.,Identify rites and their functions across different religious manifestations and traditions.
EF04ER03,EF,4º,Ensino Religioso,"Caracterizar ritos de iniciação e de passagem em diversos grupos religiosos (nascimento, casamento e morte).","Describe initiation and rites of passage in diverse religious groups, including those associated with birth, marriage, and death."
EF04ER04,EF,4º,Ensino Religioso,"Identificar as diversas formas de expressão da espiritualidade (orações, cultos, gestos, cantos, dança, meditação) nas diferentes tradições religiosas.","Identify the various forms of spiritual expression (prayers, worship, gestures, chants, dance, meditation) found across different religious traditions."
EF04ER05,EF,4º,Ensino Religioso,"Identificar representações religiosas em diferentes expressões artísticas (pinturas, arquitetura, esculturas, ícones, símbolos, imagens), reconhecendo-as como parte da identidade de diferentes culturas e tradições religiosas.","Identify religious representations in different artistic expressions (paintings, architecture, sculptures, icons, symbols, images), recognizing them as part of the identity of different cultures and religious traditions."
EF04ER06,EF,4º,Ensino Religioso,"Identificar nomes, significados e representações de divindades nos contextos familiar e comunitário.","Identify the names, meanings, and representations of deities within family and community contexts."
EF04ER07,EF,4º,Ensino Religioso,Reconhecer e respeitar as ideias de divindades de diferentes manifestações e tradições religiosas.,Recognize and respect the concepts of deities found across different religious manifestations and traditions.
EF05ER01,EF,5º,Ensino Religioso,Identificar e respeitar acontecimentos sagrados de diferentes culturas e tradições religiosas como recurso para preservar a memória.,Identify and respect sacred events from different cultures and religious traditions as a means of preserving collective memory.
EF05ER02,EF,5º,Ensino Religioso,Identificar mitos de criação em diferentes culturas e tradições religiosas.,Identify creation myths across different cultures and religious traditions.
EF05ER03,EF,5º,Ensino Religioso,"Reconhecer funções e mensagens religiosas contidas nos mitos de criação (concepções de mundo, natureza, ser humano, divindades, vida e morte).","Recognize the functions and religious messages conveyed in creation myths, including conceptions of the world, nature, humanity, deities, life, and death."
EF05ER04,EF,5º,Ensino Religioso,Reconhecer a importância da tradição oral para preservar memórias e acontecimentos religiosos.,Recognize the importance of oral tradition in preserving religious memories and events.
EF05ER05,EF,5º,Ensino Religioso,"Identificar elementos da tradição oral nas culturas e religiosidades indígenas, afro-brasileiras, ciganas, entre outras.","Identify elements of oral tradition in Indigenous, Afro-Brazilian, Roma, and other cultures and religious practices."
EF05ER06,EF,5º,Ensino Religioso,Identificar o papel dos sábios e anciãos na comunicação e preservação da tradição oral.,Identify the role of sages and elders in transmitting and preserving oral tradition.
EF05ER07,EF,5º,Ensino Religioso,"Reconhecer, em textos orais, ensinamentos relacionados a modos de ser e viver.","Recognize, in oral texts, teachings related to ways of being and living."
EF06ER01,EF,6º,Ensino Religioso,"Reconhecer o papel da tradição escrita na preservação de memórias, acontecimentos e ensinamentos religiosos.","Recognize the role of written tradition in preserving religious memories, events, and teachings."
EF06ER02,EF,6º,Ensino Religioso,"Reconhecer e valorizar a diversidade de textos religiosos escritos (textos do Budismo, Cristianismo, Espiritismo, Hinduísmo, Islamismo, Judaísmo, entre outros).","Recognize and appreciate the diversity of written religious texts, including texts from Buddhism, Christianity, Spiritism, Hinduism, Islam, Judaism, and others."
EF67EF18,EF,"6º, 7º",Educação Física,"Experimentar e fruir diferentes práticas corporais de aventura urbanas, valorizando a própria segurança e integridade física, bem como as dos demais.","Explore and appreciate different urban adventure physical practices, valuing personal safety and physical integrity, as well as that of others."
EF67EF19,EF,"6º, 7º",Educação Física,Identificar os riscos durante a realização de práticas corporais de aventura urbanas e planejar estratégias para sua superação.,Identify risks involved in urban adventure physical practices and plan strategies to address and overcome them.
EF67EF20,EF,"6º, 7º",Educação Física,"Executar práticas corporais de aventura urbanas, respeitando o patrimônio público e utilizando alternativas para a prática segura em diversos espaços.","Execute urban adventure physical practices, respecting public property and using alternatives for safe practice across a variety of spaces."
EF67EF21,EF,"6º, 7º",Educação Física,"Identificar a origem das práticas corporais de aventura e as possibilidades de recriá-las, reconhecendo as características (instrumentos, equipamentos de segurança, indumentária, organização) e seus tipos de práticas.","Identify the origins of adventure physical practices and the possibilities for recreating them, recognizing their characteristics (equipment, safety gear, attire, and organization) and their various types."
EF89EF01,EF,"8º, 9º",Educação Física,"Experimentar diferentes papéis (jogador, árbitro e técnico) e fruir os esportes de rede/parede, campo e taco, invasão e combate, valorizando o trabalho coletivo e o protagonismo.","Explore and appreciate different roles (player, referee, and coach) in net/wall, fielding/striking, invasion, and combat sports, valuing teamwork and individual agency."
EF89EF02,EF,"8º, 9º",Educação Física,"Praticar um ou mais esportes de rede/parede, campo e taco, invasão e combate oferecidos pela escola, usando habilidades técnico-táticas básicas.","Participate in one or more net/wall, fielding/striking, invasion, and combat sports offered by the school, applying basic technical and tactical skills."
EF89EF03,EF,"8º, 9º",Educação Física,"Formular e utilizar estratégias para solucionar os desafios técnicos e táticos, tanto nos esportes de campo e taco, rede/parede, invasão e combate como nas modalidades esportivas escolhidas para praticar de forma específica.","Formulate and apply strategies to solve technical and tactical challenges in fielding/striking, net/wall, invasion, and combat sports, as well as in specific sports disciplines chosen for focused practice."
EF89EF04,EF,"8º, 9º",Educação Física,"Identificar os elementos técnicos ou técnico-táticos individuais, combinações táticas, sistemas de jogo e regras das modalidades esportivas praticadas, bem como diferenciar as modalidades esportivas com base nos critérios da lógica interna das categorias de esporte: rede/parede, campo e taco, invasão e combate.","Identify individual technical and technical-tactical elements, tactical combinations, game systems, and rules of the sports practiced, and differentiate sports disciplines based on the internal logic of each sport category: net/wall, fielding/striking, invasion, and combat."
